,genre,count
International Movies,International Movies,1927
Dramas,Dramas,1623
Comedies,Comedies,1113
International TV Shows,International TV Shows,1001
Documentaries,Documentaries,668
TV Dramas,TV Dramas,599
Action & Adventure,Action & Adventure,597
Independent Movies,Independent Movies,552
TV Comedies,TV Comedies,436
Thrillers,Thrillers,392
Children & Family Movies,Children & Family Movies,378
Romantic Movies,Romantic Movies,376
Crime TV Shows,Crime TV Shows,363
Kids' TV,Kids' TV,328
Stand-Up Comedy,Stand-Up Comedy,281
Docuseries,Docuseries,279
Romantic TV Shows,Romantic TV Shows,278
Horror Movies,Horror Movies,262
Music & Musicals,Music & Musicals,243
British TV Shows,British TV Shows,210
Sci-Fi & Fantasy,Sci-Fi & Fantasy,193
Sports Movies,Sports Movies,157
Reality TV,Reality TV,153
Korean TV Shows,Korean TV Shows,132
TV Action & Adventure,TV Action & Adventure,126
Anime Series,Anime Series,117
Spanish-Language TV Shows,Spanish-Language TV Shows,117
Classic Movies,Classic Movies,84
TV Mysteries,TV Mysteries,69
TV Sci-Fi & Fantasy,TV Sci-Fi & Fantasy,68
Science & Nature TV,Science & Nature TV,67
LGBTQ Movies,LGBTQ Movies,60
Movies,Movies,56
Cult Movies,Cult Movies,55
TV Horror,TV Horror,54
Faith & Spirituality,Faith & Spirituality,47
Anime Features,Anime Features,45
TV Thrillers,TV Thrillers,44
Teen TV Shows,Teen TV Shows,44
Stand-Up Comedy & Talk Shows,Stand-Up Comedy & Talk Shows,42
Classic & Cult TV,Classic & Cult TV,24
TV Shows,TV Shows,10
